,dataHoraFim,index,com_governo,contra_governo
0,2003-01-01,5.0,276.0,112.2
1,2003-10-31,48.5,284.8658536585366,73.67073170731707
2,2004-04-30,115.0,255.5686274509804,66.19607843137256
3,2004-10-31,156.0,228.58064516129033,88.7741935483871
4,2005-04-30,187.5,235.4375,83.25
5,2005-10-31,221.5,236.30555555555554,79.83333333333333
6,2006-04-30,255.0,249.38709677419354,101.64516129032258
7,2006-10-31,273.5,201.0,165.16666666666666
8,2007-04-30,298.5,293.70454545454544,71.45454545454545
9,2007-10-31,361.55555555555554,286.020202020202,81.73737373737374
10,2008-04-30,438.5,271.07142857142856,84.92857142857143
11,2008-10-31,478.0,267.5405405405405,64.75675675675676
12,2009-04-30,514.0,255.11428571428573,80.91428571428571
13,2009-10-31,553.0,252.93023255813952,90.04651162790698
14,2010-04-30,597.5,259.1521739130435,69.71739130434783
15,2010-10-31,623.5,209.83333333333334,120.0
16,2011-04-30,638.5,280.2083333333333,76.41666666666667
17,2011-10-31,667.5,268.6470588235294,78.08823529411765
18,2012-04-30,701.5,312.29411764705884,68.82352941176471
19,2012-10-31,725.0,240.84615384615384,67.6923076923077
20,2013-04-30,743.0,234.95652173913044,107.04347826086956
21,2013-10-31,786.5,239.859375,89.5
22,2014-04-30,828.0,242.6315789473684,103.73684210526316
23,2014-10-31,845.0,181.2,145.93333333333334
24,2015-04-30,873.0,257.9756097560976,132.97560975609755
25,2015-10-31,947.0,258.50467289719626,148.98130841121494
26,2016-04-30,1007.9814814814815,247.59259259259258,136.7037037037037
27,2016-10-31,1099.0,295.15384615384613,76.8021978021978
28,2017-04-30,1174.5,256.18333333333334,108.03333333333333
29,2017-10-31,1225.4583333333333,266.7291666666667,82.20833333333333
30,2018-04-30,1328.5,261.28333333333336,83.85
31,2018-10-31,1388.5,239.33333333333334,94.33333333333333
32,2019-01-01,1422.5,257.375,73.25
